reviewID,name,date,verifiedPurchase,rating,helpful,title,review,profile,country,reviewLink,reviewImage,productTitle,productASIN,productURL,productPrice,productRating,productReviewCount
product_B0DXQG2L28_1746435793,Amazon Customer,"May 05, 2025",False,4.0,49,"Preset Wireless Over-Ear Headphones with Microphone, 95H Playtime, Bluetooth, Memory Foam and Soft Touch (Ivory)",Product listing from Amazon search. Price: $39.99,https://www.amazon.com/dp/B0DXQG2L28,US,https://www.amazon.com/dp/B0DXQG2L28,https://m.media-amazon.com/images/I/61vMeuCbizL._AC_UY218_.jpg,"Preset Wireless Over-Ear Headphones with Microphone, 95H Playtime, Bluetooth, Memory Foam and Soft Touch (Ivory)",B0DXQG2L28,https://www.amazon.com/dp/B0DXQG2L28,$39.99,4.0,49
product_B0DXQDDQK3_1746435793,Amazon Customer,"May 05, 2025",False,4.0,49,"Ambience Over-Ear Headphones with Microphone, Noise Cancelling and Transparency Mode, 65H Playtime, Memory Foam, Ivory",Product listing from Amazon search. Price: $59.98,https://www.amazon.com/dp/B0DXQDDQK3,US,https://www.amazon.com/dp/B0DXQDDQK3,https://m.media-amazon.com/images/I/61jKNnaLFPL._AC_UY218_.jpg,"Ambience Over-Ear Headphones with Microphone, Noise Cancelling and Transparency Mode, 65H Playtime, Memory Foam, Ivory",B0DXQDDQK3,https://www.amazon.com/dp/B0DXQDDQK3,$59.98,4.0,49
product_B0BS1QCFHX_1746435793,Amazon Customer,"May 05, 2025",False,4.0,9694,Sony,Product listing from Amazon search. Price: Not available,https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_3,US,https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_3,https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY218_.jpg,Sony,B0BS1QCFHX,https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_3,Not available,4.0,9694
product_B0BS1PRC4L_1746435793,Amazon Customer,"May 05, 2025",False,4.0,20516,Sony,Product listing from Amazon search. Price: Not available,https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_4,US,https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_4,https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg,Sony,B0BS1PRC4L,https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_4,Not available,4.0,20516
product_B0863TXGM3_1746435793,Amazon Customer,"May 05, 2025",False,4.0,59674,Sony,Product listing from Amazon search. Price: $298.00,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_5,US,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_5,https://m.media-amazon.com/images/I/61oqO1AMbdL._AC_UY218_.jpg,Sony,B0863TXGM3,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_5,$298.00,4.0,59674
product_B09XS7JWHH_1746435793,Amazon Customer,"May 05, 2025",False,4.0,16844,Sony,Product listing from Amazon search. Price: $348.00,https://www.amazon.com/Sony-WH-1000XM5-Canceling-Headphones-Hands-Free/dp/B09XS7JWHH/ref=sr_1_6,US,https://www.amazon.com/Sony-WH-1000XM5-Canceling-Headphones-Hands-Free/dp/B09XS7JWHH/ref=sr_1_6,https://m.media-amazon.com/images/I/51aXvjzcukL._AC_UY218_.jpg,Sony,B09XS7JWHH,https://www.amazon.com/Sony-WH-1000XM5-Canceling-Headphones-Hands-Free/dp/B09XS7JWHH/ref=sr_1_6,$348.00,4.0,16844
product_B08FXR3BWX_1746435793,Amazon Customer,"May 05, 2025",False,4.0,1619,PHILIPS,Product listing from Amazon search. Price: $34.99,https://www.amazon.com/dp/B08FXR3BWX,US,https://www.amazon.com/dp/B08FXR3BWX,https://m.media-amazon.com/images/I/61St1ikPg7L._AC_UY218_.jpg,PHILIPS,B08FXR3BWX,https://www.amazon.com/dp/B08FXR3BWX,$34.99,4.0,1619
product_B0CFSKN2LW_1746435793,Amazon Customer,"May 05, 2025",False,4.0,4311,Sony,Product listing from Amazon search. Price: $49.99,https://www.amazon.com/WH-CH520-Wireless-Bluetooth-Headphones-Microphone/dp/B0CFSKN2LW/ref=sr_1_8,US,https://www.amazon.com/WH-CH520-Wireless-Bluetooth-Headphones-Microphone/dp/B0CFSKN2LW/ref=sr_1_8,https://m.media-amazon.com/images/I/41ETuD2aZRL._AC_UY218_.jpg,Sony,B0CFSKN2LW,https://www.amazon.com/WH-CH520-Wireless-Bluetooth-Headphones-Microphone/dp/B0CFSKN2LW/ref=sr_1_8,$49.99,4.0,4311
product_B09YLFHFDW_1746435793,Amazon Customer,"May 05, 2025",False,4.0,11106,Sony,Product listing from Amazon search. Price: Not available,https://www.amazon.com/Sony-Wireless-Bluetooth-Headphones-Microphone/dp/B09YLFHFDW/ref=sr_1_9,US,https://www.amazon.com/Sony-Wireless-Bluetooth-Headphones-Microphone/dp/B09YLFHFDW/ref=sr_1_9,https://m.media-amazon.com/images/I/41d2o4QXPfL._AC_UY218_.jpg,Sony,B09YLFHFDW,https://www.amazon.com/Sony-Wireless-Bluetooth-Headphones-Microphone/dp/B09YLFHFDW/ref=sr_1_9,Not available,4.0,11106
product_B071HXDWXS_1746435793,Amazon Customer,"May 05, 2025",False,4.0,541,Sony,Product listing from Amazon search. Price: $99.99,https://www.amazon.com/Sony-Lightweight-Wireless-Headphones-Computer/dp/B071HXDWXS/ref=sr_1_10,US,https://www.amazon.com/Sony-Lightweight-Wireless-Headphones-Computer/dp/B071HXDWXS/ref=sr_1_10,https://m.media-amazon.com/images/I/51Uf6HL21fL._AC_UY218_.jpg,Sony,B071HXDWXS,https://www.amazon.com/Sony-Lightweight-Wireless-Headphones-Computer/dp/B071HXDWXS/ref=sr_1_10,$99.99,4.0,541
